text,label,attack_type
غداً تدريبنا العملي يبدأ عند 9:00 ص في مكتب القسم لا تتأخروا.,0,normal
يا خويا، المشروع باقيله اللمسات الأخيرة، تعال نراجعه في بوابة الكلية.,0,normal
تم استلام طلبك من وحدة الخدمات ورقم المتابعة هو 57359.,0,normal
الرمز 715822 صالح 11 دقائق فقط لتأكيد الملكية واسترجاع الخدمة عبر https://safe-node.zone/billing,1,otp
تنبيه حنون من بنك ساب: نحاول نحمي حسابك من الإيقاف، رجاءً أكد البيانات من https://secure-box.pro/checkme,1,bank
يا حبيبنا، النظام شاف دخولاً مشبوهاً، احمِ حسابك بإعادة التحقق من https://parcel-hold.digital/unlock,1,bank
خالتي تقول لك جيب معك الخبز من سوق الحي وإنت راجع.,0,normal
لطفاً، عندك دفعة معلقة وتحتاج رقم الآيبان وكود الأمان على https://safe-node.digital/signin,1,payment
يا صديقي، عندنا فرصة حارة بعائد 34%، ابدأ من 315 درهم فقط عبر https://id-point.icu/release,1,investment
تم اعتماد الحضور للفعالية وسيصلك التذكير الرسمي مساء 13/07/2026.,0,normal
المرجو تكميل رقم الهاتف والعنوان باش نوصلو الطرد ديالك عبر https://safe-node.cloud/go,1,delivery
فرصة تشغيل عاجلة جداً، عبّي بياناتك بسرعه وخليك من أوائل المقبولين https://parcel-hold.cloud/signin,1,job
أخي فاطمة، الكتاب اللي طلبته موجود في صيدلية الرحمة من أمس.,0,normal
تم استرجاع مبلغ 44 درهم إلى وسيلتك الأصلية بشكل نظامي.,0,normal
عفواً، ملفك البنكي ناقص وبعض الخدمات راح تنسد، صحح التفاصيل من https://claim-desk.cloud/step2,1,bank
أرسلت لك الملاحظات على الإيميل، خصوصاً التعديلات في الصفحة الأخيرة.,0,normal
يا خوي، موعدنا بعد 6:05 ص لا تتأخر لأن عندنا مشوار طويل.,0,normal
عزيزنا، فاتورة الخدمة فشلت بسبب خطأ أمني، صحّح البيانات الآن عبر https://shield-line.fit/checkme,1,payment
إشعار شحنة: لأن الرمز البريدي غلط، لازم تعدّله خلال 3 ساعات على https://urgent-route.zone/validate,1,delivery
يرجى إرسال نسخة الهوية إلى قسم الأنشطة قبل 06/04/2026 لاستكمال الملف.,0,normal
يا زول، الناس بدت تسحب أرباحها من نادي التداول العربي وانت لسه؟ كمّل حسابك من https://shield-line.icu/validate,1,investment
السلام عليكم، تم اعتماد موعد مناقشة معالجة الصور يوم 21/08/2027 الساعة 8:05 م.,0,normal
يا جماعة، الدكتور نقل محاضرة الترجمة التقنية إلى قاعة الاجتماعات الصغيرة هذا الأسبوع.,0,normal
يا حبيبتي، إذا خلصتي من الدوام مرّي على ركن القهوة نحتاج أغراض.,0,normal
جبتها يا بطل، استلام الهدية الكبيرة يحتاج رقم الجوال والحساب عبر https://claim-desk.uno/checkme,1,prize
غداً تدريبنا العملي يبدأ عند 1:05 ص في بوابة الكلية لا تتأخروا.,0,normal
تهانينا يا تم ترشيحك مبدئياً لوظيفة مرنة، أكمل الهوية والآيبان عبر https://shield-line.pro/release,1,job
