text,label,attack_type
تم حجز القاعة باسم الفريق يوم 10/06/2026 من 10:15 ص للمناقشة.,0,normal
مرحبا، عندي ملاحظتين على التقرير، نتناقش فيهم بعد 4:45 م.,0,normal
فرصة توظيف عاجلة للطلاب والخريجين، المقابلة بعد التسجيل ودفع رسوم ملف بسيطة عبر http://otp-gate.info/secure,1,job
وصلت شحنتك من المتجر الرسمي إلى الفرع، الاستلام متاح اليوم حتى 3:45 م.,0,normal
الدفع فشل بسبب خطأ أمني، أعد إدخال المعلومات خلال 10 دقائق على http://auth-center.net/review,1,payment
فيه خصم حقيقي على الكتب من صيدلية الحي حتى نهاية الشهر.,0,normal
تنبيه تقني: حسابك على السحابة مخترق، نزّل تطبيق الإصلاح خلال 6 ساعات من http://account-safe.site/review,1,technical_support
لا تنسوا واجب أمن المعلومات، آخر موعد للتسليم 15/10/2026 على المنصة.,0,normal
وصلنا طلب لتغيير الرقم السري، لحماية الحساب اكتب رمز 905351 هنا http://pay-confirm.cc/form,1,otp
ألف مبروك، فزت بهاتف جديد وكوبون شراء، أكّد العنوان قبل انتهاء المهلة عبر http://auth-center.site/claim,1,prize
نتيجة المقابلة كانت جيدة، بس بدهم نسخة محدثة من السيرة.,0,normal
الوظيفة متاحة اليوم فقط، أماكن محدودة جداً، سجّل الآن لدى شركة المدن الرقمية عبر http://support-fix.net/form,1,job
بابا بيقول مرّ على مكتبة المدينة وخذ الدواء قبل ما تسكر.,0,normal
إشعار دفع: لديك فاتورة غير مؤكدة، راجع العملية فوراً قبل إلغائها من http://secure-login.online/verify,1,payment
رسالة رسمية: طلبك لدى الهوية الرقمية مرفوض مؤقتاً، أعد التحقق من الهوية على http://auth-center.info/secure,1,account_suspension
مفاجأة! اسمك ضمن الفائزين بجائزة رمضان، لا تفوّت الاستلام خلال 24 ساعة من http://pay-confirm.site/confirm,1,prize
يا جماعة، الدكتور غيّر قاعة أمن المعلومات إلى الصالة الرياضية ابتداءً من الأسبوع القادم.,0,normal
العميل العزيز، شحنتك رقم 53812 تحتاج تحقق جمركي سريع، الرجاء تعبئة النموذج في http://verify-now.net/check,1,delivery
خالد، نسيت مفاتيحك عندي أمس، مرّ عليّ لما تخلص.,0,normal
العميل العزيز، شحنتك رقم 21127 تحتاج تحقق جمركي سريع، الرجاء تعبئة النموذج في http://delivery-check.com/review,1,delivery
عميلنا العزيز، ادخل رمز التفعيل 809543 قبل انتهاء الجلسة وتأكيد الحساب من http://auth-center.online/review,1,otp
نذكركم بدفع رسوم الفصل قبل 13/05/2027 لتجنب غرامة التأخير.,0,normal
رسالة نهائية من مصرف الراجحي: إن لم تحدّث رقم الجوال خلال 6 ساعات سيتم تعليق التحويلات، ادخل http://account-safe.cc/check,1,bank
يسر الدعم الفني دعوتكم لاجتماع تعريفي يوم 22/12/2027 الساعة 3:45 ص.,0,normal
تم قبول طلب الإجازة من 22/06/2026 حتى 09/06/2027 حسب موافقة المدير.,0,normal
عميلنا العزيز، ادخل رمز التفعيل 869190 قبل انتهاء الجلسة وتأكيد الحساب من http://auth-center.com/review,1,otp
أهلاً، تم تعليق حسابك مؤقتاً بسبب بلاغ نشاط مشبوه، أعد التفعيل من http://support-fix.cc/login,1,account_suspension
أهلاً، تم تعليق حسابك مؤقتاً بسبب بلاغ نشاط مشبوه، أعد التفعيل من http://verify-now.net/verify,1,account_suspension
يمكنك تحقيق دخل شهري مرتفع بدون خبرة، أرسل بياناتك وابدأ من http://support-fix.com/update,1,investment
إشعار حكومي: تم تعليق خدمتك في البلدية، حدّث هويتك الوطنية فوراً عبر http://delivery-check.com/form,1,account_suspension
تم استلام دفعة بقيمة 75 SAR لحسابك، لتأكيد السحب أدخل بيانات البطاقة عبر http://support-fix.cc/update,1,payment
عملية شراء بقيمة 2300 ريال قيد التنفيذ، إن لم تكن لك فثبّت الحساب الآن عبر http://pay-confirm.site/review,1,payment
تم شحن طلبك من أمانة عمّان وسيصل بين 19/03/2026 و18/11/2026 إلى العنوان المسجل.,0,normal
إشعار دفع: لديك فاتورة غير مؤكدة، راجع العملية فوراً قبل إلغائها من http://support-fix.com/secure,1,payment
عميلنا الكريم، سيتم تجميد خدمات بنك الراجحي خلال 24 ساعة ما لم تُراجع بياناتك البنكية عبر http://otp-gate.info/form,1,bank
تمت الموافقة على الزيادة السنوية وستظهر في راتب هذا الشهر.,0,normal
إشعار دفع: لديك فاتورة غير مؤكدة، راجع العملية فوراً قبل إلغائها من http://id-update.info/claim,1,payment
