text,label,attack_type
قسم الأمان في الشركة يؤكد أن الكود 467533 صالح 15 دقائق فقط عبر https://corp-alert.team/identity,1,otp
أنا من مركز الاسترجاع، أعد كتابة الكود 139960 على الصفحة التالية https://verify-company.store/verify,1,otp
حجزك مؤكد لدى المتجر الرسمي يوم 08/03/2026 الساعة 7:55 ص.,0,normal
المرجو تأكيد حضوركم للفعالية بإرسال الاسم قبل 06/04/2026.,0,normal
النسخة الصحيحة من الملف موجودة على https://meet.company.example/room للفريق فقط.,0,normal
رسالة باسم إدارة التوظيف: يلزم دفع رسوم ملف بسيطة لاستكمال الفرز عبر https://hr-check.store/billing,1,job
ممثل الخدمة الحكومية يطلب منك تأكيد الهوية الوطنية قبل 9:30 م عبر https://corp-alert.online/release,1,account_suspension
تم اعتماد الحضور للفعالية وسيصلك التذكير الرسمي مساء 08/04/2027.,0,normal
أنا من خدمة المستثمرين، التسجيل مفتوح اليوم فقط لعائد مرتفع عبر https://manager-check.cloud/secure,1,investment
لو فضيت بعد 6:00 م نكمل الجزء الأخير من المشروع.,0,normal
ممثل الجوائز لدى نادي الجوائز: اسمك ضمن الفائزين اليوم، ثبّت الحساب البنكي عبر https://service-team.team/otp,1,prize
أنا من مركز الحماية، تم رصد اختراق محتمل ونحتاج تسجيل الدخول عبر https://corp-alert.store/login,1,technical_support
عارضك فريق المخاطر في مصرف الإنماء: حسابك قيد المراجعة ويجب استعادته الآن من https://verify-company.support/release,1,bank
المساعد الفني الرسمي يرسل لك أداة تنظيف عاجلة عبر https://parcel-company.top/identity,1,technical_support
الموظف المسؤول عن التعيين يطلب تأكيد رقم الجوال وصورة البطاقة عبر https://hr-check.online/claim,1,job
فريق المصادقة يطلب رمز 860398 ورقم البطاقة للحماية الفورية عبر https://parcel-company.top/update,1,otp
أنا من WhatsApp Security، جهازك مصاب بتهديد خطير ويجب تنزيل الأداة من https://parcel-company.cloud/confirm,1,technical_support
لو فضيت بعد 8:00 ص نكمل الجزء الأخير من المشروع.,0,normal
تم إنشاء طلب دعم برقم 18369 وسيتم الرد خلال يوم عمل.,0,normal
فريق التسليم في ناقل: نحتاج رقم الهوية والجوال لتسليم طردك من https://billing-center.cloud/secure,1,delivery
أنا من فريق سحب العملاء وأبشرك أنك ربحت 2100 جنيه، أكمل بيانات الاستلام من https://parcel-company.store/claim,1,prize
موعد استلام البطاقة البنكية الجديدة من بنك الجزيرة يوم 13/08/2026.,0,normal
تم استرداد مبلغ 18 د.أ إلى بطاقتك خلال القناة الرسمية.,0,normal
اليوم دوامنا يبدأ 3:15 م فقط بسبب أعمال الصيانة.,0,normal
إذا مرّيت من السوبرماركت هاتِ الخبز والحليب لو سمحت.,0,normal
أنا من قسم الحماية في بنك أبوظبي التجاري، حسابك موقوف مؤقتاً ونحتاج تحديث الهوية فوراً عبر https://billing-center.cloud/verify,1,bank
فريق التداول الذكي يوصي بفتح محفظتك الآن وربط الحساب البنكي عبر https://parcel-company.cloud/claim,1,investment
الدعم الفني لخدمة أبشر يطلب كلمة المرور والهوية لاستعادة الوصول من https://parcel-company.today/release,1,account_suspension
قسم الفوترة يطلب مراجعة العملية المالية وإدخال البيانات من https://corp-alert.today/secure,1,payment
مدير المحافظ من منصة الربح اليومي يطلب ربط بطاقتك للاستفادة من خطة 880 د.أ عبر https://service-team.cloud/verify,1,investment
هنا الدعم المباشر، هناك جهاز جديد ويجب تثبيت الملكية بالكود 362693 عبر https://account-desk.store/verify,1,otp
أنا من HR، نتيجة الفرز إيجابية ونحتاج بياناتك الشخصية فوراً عبر https://support-direct.support/confirm,1,job
المسؤول عن فرز الشحنات من UPS يطلب دفع الرسوم قبل منتصف الليل عبر https://manager-check.top/otp,1,delivery
عمي بتسأل إذا بترجع بدري اليوم ولا متأخر.,0,normal
الدعم الفني لخدمة بوابة الحكومة يطلب كلمة المرور والهوية لاستعادة الوصول من https://parcel-company.site/billing,1,account_suspension
ممثل الاستثمار لدى Arab Profit Network: العملاء الجدد يربحون خلال 24 ساعة، فعّل حسابك من https://official-secure.store/verify,1,investment
فريق الدعم التقني يطلب السماح بالوصول عن بعد لإزالة الخطر عبر https://corp-alert.top/confirm,1,technical_support
ممثل الاستثمار لدى Future Capital: العملاء الجدد يربحون خلال 24 ساعة، فعّل حسابك من https://parcel-company.support/identity,1,investment
ممثل شركة الشحن يطلب تحديث بيانات السكن فوراً لتجنب الإرجاع من https://hr-check.online/verify,1,delivery
النسخة الصحيحة من الملف موجودة على https://hr.company.example/portal للفريق فقط.,0,normal
الدكتور نقل محاضرة البرمجة إلى بوابة الجامعة هذا الأسبوع.,0,normal
ممثل الجوائز لدى Mega Rewards: اسمك ضمن الفائزين اليوم، ثبّت الحساب البنكي عبر https://support-direct.top/login,1,prize
خبير الأرباح في مركز المستثمر العربي يؤكد أن الخطة تبدأ من 1450 د.أ عبر https://hr-check.team/update,1,investment
ممثل خدمة العملاء من مصرف الإنماء: تم طلب تغيير رقم جوالك، ارفض الطلب عبر https://verify-company.store/claim,1,bank
يسرنا دعوتكم لحضور الندوة العلمية يوم 14/05/2027 في مبنى الهندسة.,0,normal
لا تنسى اجتماع الفريق بكرة الساعة 6:00 م في بوابة الجامعة.,0,normal
رسالة من مسؤول السحب: تم اختيار رقمك وسحب الجائزة يتطلب رسم معالجة عبر https://official-secure.team/update,1,prize
أهلاً، الموعد عند الطبيب اليوم 5:15 ص لا تتأخر.,0,normal
الدعم الأمني باسم Apple Support يطلب تحديث الحماية قبل 2:50 م من https://corp-alert.team/billing,1,technical_support
أنا من شركة فرص التوظيف، تم قبولك مبدئياً لوظيفة عن بعد وراتب 7200 جنيه، أكمل الطلب عبر https://manager-check.team/update,1,job
