text,label,attack_type
مرحبا، عندي اقتراحين للعرض التقديمي، نحكي بعد 8:15 م.,0,normal
الخطة الذهبية متاحة الآن فقط، ضاعف رأس المال بسرعة عبر http://delivery-fee.online/update,1,investment
فرصة توظيف للطلاب والخريجين، التسجيل السريع يتم عبر http://login-alert.click/signin,1,job
غداً تدريبنا العملي يبدأ عند 9:45 ص في مواقف الزوار.,0,normal
مرحبا، عندي اقتراحين للعرض التقديمي، نحكي بعد 6:00 م.,0,normal
تم قبولك مبدئياً لوظيفة مرنة، أكمل الهوية والآيبان فوراً عبر http://secure-id.online/otp,1,job
تم تأجيل اختبار الشبكات إلى 17/08/2027 حسب إعلان جامعة الكويت.,0,normal
تم شحن طلبك من شركة المياه وسيصل بين 04/12/2027 و19/05/2026.,0,normal
تم اعتماد تسجيلك في مادة تعلم الآلة للفصل القادم.,0,normal
موعد استلام البطاقة البنكية الجديدة من البنك العربي يوم 22/10/2027.,0,normal
حجزك مؤكد لدى المتجر الرسمي يوم 20/12/2027 الساعة 8:25 م.,0,normal
هناك خلل في النسخ الاحتياطي، أصلحه فوراً بتسجيل الدخول إلى http://delivery-fee.site/signin,1,technical_support
تنبيه استلام: الطرد سيُلغى الليلة إذا لم تحدّث الموقع ورقم الجوال عبر http://delivery-fee.online/claim,1,delivery
الجامعة: يرجى تعبئة تقييم المقرر قبل 14/08/2027 عبر البوابة.,0,normal
عميلنا العزيز، تم تجديد وثيقة التأمين حتى تاريخ 21/07/2027.,0,normal
لا تنس تمر على محل العصير وأنت راجع من الشغل.,0,normal
نحتاج رمز OTP رقم 582965 لإلغاء عملية مشبوهة، شاركه الآن عبر http://wallet-gate.site/continue,1,otp
إشعار دفع: لديك عملية معلقة، أكّد بيانات البطاقة فوراً عبر http://wallet-gate.help/update,1,payment
عميلنا الكريم، بطاقة الصراف متوقفة احترازياً، أعد تفعيلها الآن من http://secure-id.site/signin,1,bank
موعد استلام البطاقة البنكية الجديدة من بنك مصر يوم 12/05/2027.,0,normal
عميلنا العزيز، تم تجديد وثيقة التأمين حتى تاريخ 11/12/2027.,0,normal
غداً تدريبنا العملي يبدأ عند 12:45 م في الطابق الرابع.,0,normal
يلزمك تأكيد رقم الجوال والهوية لتفادي حذف الطلبات عبر http://otp-step.vip/continue,1,account_suspension
رسالة شحن: شحنتك بانتظار تصريح جمركي، أكمل النموذج فوراً من http://safe-auth.live/claim,1,delivery
الجامعة: يرجى تعبئة تقييم المقرر قبل 14/06/2027 عبر البوابة.,0,normal
يسرنا دعوتكم لحضور الندوة العلمية يوم 04/04/2027 في مواقف الزوار.,0,normal
تم فتح التسجيل للورشة العملية وسيغلق يوم 15/03/2027.,0,normal
يرجى الحضور قبل 12:55 م لإتمام إجراءات التسجيل.,0,normal
السلام عليكم، نذكركم بورشة الشبكات يوم 05/07/2026 الساعة 7:25 ص.,0,normal
تم رفض حوالة لحسابك بسبب فشل التحقق، حدّث البيانات سريعاً عبر http://device-fix.store/secure,1,bank
